
Grooved object,"possibly Multiple archaeological cultures (attributed), including Archaic Age (Ortoiroid) and Ostionoid Traditions  ","Carved, incised, ground",Unknown Function,Île de la Gonâve; La Gonâve Arrondissement; Ouest Department; Haiti,"Collected or purchased from local residents in 1938 by Frank R. Crumbie, Jr. (1900-1960, an American who held several government positions in Haiti during its 1915-1934 occupation by the U.S.) during fieldwork sponsored by MAI."
Axe head,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Ground, grooved",Tools and Equipment (General),Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1913 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye."
Finger ring,Caddo  ,"Hammered, stamped",Adornment/Jewelry,Oklahoma; USA,"Collected from Mrs. Charley Williams (Caddo) and Louisa Elliot (Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye."
Parfleche trunk,Kikapu (Mexican Kickapoo)  ,Painted,Containers and Vessels,Coahuila State; Mexico,"Collected from Mrs. Mack Johnson (Kikapu) or Ina' ci' kna (Kikapu) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and expedition interpreter Leo Walker (Sac and Fox), during fieldwork sponsored by George Heye."
Worked stone,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Ground, grooved",Materials: Waste,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1914 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye."
Abrader/Grinding stone,probably Casas Grandes Tradition (archaeological culture) (attributed)  ,Abraded,Tools and Equipment (General),Paquimé region; Paquimé (Casas Grandes); Casas Grandes Municipality; Chihuahua State; Mexico,"Collection history unknown; formerly in the collection of Edward Ledwidge (1870-1934, an El Paso, Texas, tax collector and prominent collector of Casas Grandes pottery); purchased by MAI from Edward Ledwidge in 1917 using funds donated by MAI trustee Harmon W. Hendricks (1846-1928)."
Axe-shaped object,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,Ground,Unknown Function,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1917 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by MAI."
Figure,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,Carved,Sculpture/Carving/Figures,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1917 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by MAI."
Figure,probably Multiple archaeological cultures (attributed); including Saladoid and Elenan Ostionoid (Elenoid)  ,Ground,Sculpture/Carving/Figures,South of Frederiksted; Concordia; Saint Croix; US Virgin Islands,"Excavated in 1934 during the Willard V. King Virgin Island Expedition, led by archaeologist Lewis J. Korn (1903-1992) and sponsored by MAI and Willard V. King (1868-1955, a New York City banker and MAI trustee)."
Moccasins,Oklahoma Delaware  ,"Sewn, overlay beadwork, edge beaded",Clothing/Garments: Footwear,Oklahoma; USA,"Collected from Jennie Bobb (Oklahoma Delaware) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye."
Figure,"possibly Multiple archaeological cultures (attributed), including Archaic Age (Ortoiroid) and Ostionoid Traditions  ","Pecked, carved, ground",Sculpture/Carving/Figures,"Juncalito, La Calaverna; Santiago Province; Dominican Republic","Collection history unknown; formerly in the collection of Demetrio Collado, a native of the Dominican Republic living in New York City; purchased by MAI from Demetrio Collado in 1972."
Lobed object,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Ground, carved",Unknown Function,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1912 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye."
Axe-shaped object,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,Ground,Unknown Function,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1917 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by MAI."
Worked stone,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Ground, carved",Materials: Waste,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1917 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by MAI."
Mortar,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,Ground,Food Gathering and Preparation,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1913 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye."
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924."
Bead/beads,"possibly Multiple archaeological cultures (attributed); including Archaic Age (Ortoiroid), Saladoid, and Ostionan Ostionoid Traditions  ","Ground, drilled",Adornment/Jewelry,Puerto Rico,Collection history unknown; purchased by MAI from an unknown source in 1926.
Vessel fragment,probably Archaic Age (Ortoiroid) (archaeological culture) (attributed)  ,"Pecked, ground",Containers and Vessels,"Mound, Baie de Conch, Île à Vache; Cayes Arrondissement; Sud Department; Haiti",Excavated in 1934 by independent archaeologist Godfrey J. Olsen (1906-1964); donated to MAI by Godfrey Olsen in 1934.
Moccasins,probably Kickapoo [Oklahoma] (attributed); collected from the Iowa  ,Sewn,Clothing/Garments: Footwear,Oklahoma; USA,"Collected from Frank Kent (Iowa) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and expedition interpreter Leo Walker (Sac and Fox), during fieldwork sponsored by George Heye."
title,culture/people,media/materials,object type,place,collection history
title,culture/people,media/materials,object type,place,collection history
title,culture/people,media/materials,object type,place,collection history
title,culture/people,media/materials,object type,place,collection history
Bifacial tool/projectile point,"probably Multiple archaeological cultures (attributed), including Late Archaic and Middle Woodland Traditions  ",Flaked/chipped,Tools and Equipment (General),Michigan; USA,"Collection history unknown; acquired before 1905 by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) from G.F. Laurence, Dr. Wilbert Bartlett Hinsdale (1851-1944, a Michigan artifact collector) or the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1913."
Bifacial tool/projectile point,Unknown archaeological culture  ,Flaked/chipped,Tools and Equipment (General),Michigan; USA,"Collection history unknown; acquired before 1905 by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) from G.F. Laurence, Dr. Wilbert Bartlett Hinsdale (1851-1944, a Michigan artifact collector) or the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1913."
Bifacial tool/projectile point,"probably Multiple archaeological cultures (attributed), including Archaic and Woodland Traditions  ",Flaked/chipped,Tools and Equipment (General),Michigan; USA,"Collection history unknown; acquired before 1905 by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) from several sources including G.F. Laurence, Dr. Wilbert Bartlett Hinsdale (1851-1944, a Michigan artifact collector) and the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1913."
Knife and sheath,probably Great Lakes (attributed)  ,"Quilled (lane stitched), quill-wrapped (flat), quill embroidered",Personal items,"Great Lakes region; Canada, USA (inferred)","Collection history unknown; formerly in the collection of the Chichester Museum (Chichester, West Sussex, England) and said to have been acquired by the museum about 1845; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1912; purchased by George Heye from W.O. Oldman in 1913."
Moccasins,possibly Potawatomi (attributed)  ,"Sewn, dyed, quill-wrapped (flat), edge beaded, painted",Clothing/Garments: Footwear,Great Lakes Region; USA (inferred),"Said to have belonged to Chief Muscoda (Sioux), who was killed in Glendive, Montana during the Louis Riel Rebellion in 1885; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1915; purchased by George Heye from W.O. Oldman in 1915."
Pipe tomahawk,Non-Indian; probably used by the Iroquois  ,Carved,Personal items,"Ontario, Québec, New York; Canada, USA (inferred)","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1923."
Arrow,Enxet (Lengua)  ,Carved,Hunting/Fishing/Warfare,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927."
Chest ornament/Pectoral,possibly Tiwanaku (Tiahuanaco) (archaeological culture) (attributed)  ,Hammered,Adornment/Jewelry,Río Lípez; Sud Lípez Province; Potosí Department; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1928 using funds donated by MAI trustee James B. Ford (1844-1928)."
Bracelet,Shuar/Achuar  ,Strung,Adornment/Jewelry,Oriente Region; Ecuador,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1921 using funds donated by Edith Hendricks (ca. 1849-1921, sister of MAI trustee Harmon W. Hendricks)."
Bag,Enxet (Lengua)  ,Looped,Bags/Pouches (and parts),Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927."
Vessel and cover,Enxet (Lengua)  ,Incised,Containers and Vessels,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927."
Pipe bowl and pipestem,Enxet (Lengua)  ,Carved,Pipes and Smoking,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927."
Necklace,Enxet (Lengua)  ,Strung,Adornment/Jewelry,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927."
Twine/cord,Enxet (Lengua)  ,Spun,Materials: Prepared,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927."
Hand drum,Kwakwaka'wakw (Kwakiutl)  ,Painted,Music and Sound,Vancouver Island; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1937."
Woman's dress,Niitsitapii (Blackfoot/Blackfeet)  ,Lazy/lane stitch beadwork,Clothing/Garments,"Montana or Alberta; USA, Canada (inferred)","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1914; purchased by George Heye from W.O. Oldman in 1914."
"Harpoon head, foreshaft, and line",Eskimo/Inuit  ,"Carved, braided",Hunting/Fishing/Warfare,Arctic (inferred),"Collected by William Gowan (or Gowen) between 1850 and 1854 when he served on the HMS Enterprise during a search for explorer Sir John Franklin (1786-1847), who disappeared during an 1845-1847 voyage to chart Canada's Northwest Passage; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917."
Armband,Shuar [Palora]  ,"Stitched, strung, painted",Adornment/Jewelry,Morona-Santiago Province; Ecuador (inferred),"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1921 using funds donated by Edith Hendricks (ca. 1849-1921, sister of MAI trustee Harmon W. Hendricks)."
Spear,probably Shuar/Achuar (attributed)  ,Carved,Hunting/Fishing/Warfare,"Río Napo; Napo Province, Orellana Province, Sucumbios Province; Ecuador","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1921 using funds donated by Edith Hendricks (ca. 1849-1921, sister of MAI trustee Harmon W. Hendricks)."
Bag,Enxet (Lengua)  ,Looped,Bags/Pouches (and parts),Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927."
title,culture/people,media/materials,object type,place,collection history
Finger ring,Caddo  ,"Hammered, stamped",Adornment/Jewelry,Oklahoma; USA,"Collected from Mrs. Charley Williams (Caddo) and Louisa Elliot (Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye."
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924."
Bead/beads,"possibly Multiple archaeological cultures (attributed); including Archaic Age (Ortoiroid), Saladoid, and Ostionan Ostionoid Traditions  ","Ground, drilled",Adornment/Jewelry,Puerto Rico,Collection history unknown; purchased by MAI from an unknown source in 1926.
Pendant,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Carved, ground, drilled",Adornment/Jewelry,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1913 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye."
Bracelet,probably Diné (Navajo) (attributed)  ,"Cast, stamped, soldered",Adornment/Jewelry,Arizona; USA (inferred),"Received as a gift by Audrey Vera Bullis (San Carlos Apache, 1909-1974) circa 1915; inherited by her daughter Dolores Lorie Russell (San Carlos Apache, 1936-2003); subsequently inherited by Lorie Russell's partner Kathleen M. Farquhar; donated to NMAI by Kathleen Farquhar in 2010 in memory of Lorie Russell."
Nose ornament/Nose ring,probably Gran Coclé Tradition (archaeological culture) (attributed)  ,"Carved, hammered, embossed",Adornment/Jewelry,El Caño; Natá District; Coclé Province; Panama (inferred),"Collection history unknown; purchased by Alpheus Hyatt Verrill (1871-1954, explorer, author, and MAI field collector) from an unknown source in 1924 during fieldwork sponsored by MAI."
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924."
Pendant,probably Saladoid (archaeological culture) (attributed)  ,"Ground, carved, drilled",Adornment/Jewelry,Kitchen midden; Saint Bernard; Mayaro County; Trinidad; Trinidad and Tobago,"Excavated in 1915 by Theodoor de Booy (1882-1919, MAI staff member) during fieldwork sponsored by George Heye."
Bead/beads,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Ground, drilled",Adornment/Jewelry,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1915 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye."
Bead/beads,possibly Maya (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,"Isla Roatán; Roatán Municipality, José Santos Guardiola Municipality; Islas de la Bahía Department; Honduras","Collected or excavated by explorer and adventurer Frederick A. Mitchell-Hedges (1882-1959), probably in the early 1930s; donated to MAI by F.A. Mitchell-Hedges in 1935."
Bead/beads,probably Post-Classic period Maya (archaeological culture) (attributed)  ,"Ground, perforated, drilled",Adornment/Jewelry,Lamanai (Indian Church); Orange Walk District; Belize,"Probably collected or excavated by amateur archaeologist Dr. Thomas W. F. Gann (1867-1938, a physician stationed in Central America); purchased by MAI from Thomas Gann in 1919 using funds donated by MAI trustee James B. Ford (1844-1928)."
Gorget set,Non-Indian; used by the Alabama-Coushatta [Texas]  ,"Hammered, soldered, incised",Adornment/Jewelry,Texas; USA,"Collected from Sissy Thomas (Alibamu) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye."
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924."
Bracelet,Caddo  ,"Hammered, repoussé, stamped",Adornment/Jewelry,Oklahoma; USA,"Items in this set were collected from several Caddo individuals (Harry White Bread, Jesse James, Mary Reeder, Anna Johnson, Enoch Hoake, Lucy Beaver, Alfred Taylor, Caddo Jack, Nancy Longhair and David Shemamy) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye."
Pendant,probably Chican Ostionoid (Chicoid) (archaeological culture) (attributed)  ,"Pecked, carved, drilled, ground",Adornment/Jewelry,El Seíbo Province; Dominican Republic,"Collection history unknown; formerly in the collection of Padre Montas; purchased by Theodoor de Booy (1882-1919, MAI staff member) from Padre Montas in 1913 during fieldwork sponsored by George Heye."
Bead/beads,"possibly Multiple archaeological cultures (attributed); including Saladoid, Troumassan Troumassoid, and Suazan Troumassoid Traditions  ","Ground, drilled",Adornment/Jewelry,Carriacou; Grenada,"Collected or purchased from local residents in 1913 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye."
Bead/beads,possibly Maya (archaeological culture) (attributed)  ,"Carved, drilled, incised",Adornment/Jewelry,Isla de Guanaja (Bonacca); Guanaja Municipality; Islas de la Bahía Department; Honduras,"Collected or excavated by explorer and adventurer Frederick A. Mitchell-Hedges (1882-1959), probably in the late 1920s; donated to MAI by F.A. Mitchell-Hedges in 1931."
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924."
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Ground, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924."
Pendant in the form of a turtle shell,possibly West Mexican Tradition (archaeological culture) (attributed)  ,"Carved, incised, drilled",Adornment/Jewelry,Guerrero State; Mexico,Collection history unknown; purchased by MAI from an unknown source in 1938.
title,culture/people,media/materials,object type,place,collection history
Flag,Non-Indian and Iroquois  ,Commercially produced/manufactured,Advertising/Logo items,New York; USA,"Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Flag,Non-Indian and Assiniboine (Stoney)  ,Sewn,Advertising/Logo items,"Fort Belknap, Fort Belknap Reservation; Blaine County; Montana; USA","Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Flag,Non-Indian and Oglala Lakota  ,Commercially produced/manufactured,Advertising/Logo items,"Manufactured in Redwood City, California; Pine Ridge, Pine Ridge Reservation; Oglala Lakota County; South Dakota; USA","Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Flag,Non-Indian and Southern Tsitsistas/Suhtai (Cheyenne)  ,Commercially produced/manufactured,Advertising/Logo items,Roseland; Essex County; New Jersey; USA,"Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Flag,"Non-Indian and Pikuni (Piegan) [Blackfeet Nation, Browning, Montana]  ",Commercially produced/manufactured,Advertising/Logo items,Roseland; Essex County; New Jersey; USA,"Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Flag,"Non-Indian and Pikuni (Piegan) [Blackfeet Nation, Browning, Montana]  ",Commercially produced/manufactured,Advertising/Logo items,Portland; Multnomah County; Oregon; USA,"Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Flag,"Non-Indian and Minnesota Chippewa [Red Lake, Minnesota]  ",Commercially produced/manufactured,Advertising/Logo items,Red Lake Band Reservation; Beltrami County; Minnesota; USA,"Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Commemorative coin and packaging,Non-Indian  ,"Struck/minted, commercially produced/manufactured, printed",Advertising/Logo items,"Washington, DC; District of Columbia; USA","Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Flag,Non-Indian and Oglala Lakota (Oglala Sioux)  ,Commercially produced/manufactured,Advertising/Logo items,"Pine Ridge, Pine Ridge Reservation; Oglala Lakota County; South Dakota; USA","Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Badge,Non-Indian  ,"Printed, laminated",Advertising/Logo items,"Washington, DC; District of Columbia; USA (inferred)","Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013."
Wall hanging,Oklahoma Choctaw  ,"Modeled, stamped",Advertising/Logo items,Atwood; Oklahoma; USA,"NMAI purchase from the artist, 2014."
Garment patch,Non-Indian  ,"Commercially produced/manufactured, machine-embroidered",Advertising/Logo items,"Washington, DC; District of Columbia; USA","Distributed to members of the public during the September 2011 opening of NMAI's the imagiNATIONS Activity Center in Washington, DC"
